タイムスタンプ,表示名,コメント,部門,アイコン,URL
,,,,,
2020/07/21 11:36:37,maki,年明けすぐにVの沼に使った者です。趣味は浅く広くが多いのでイラストやゲームなど興味があればなんでも話しかけてください〜,"プログラマー, デザイナー",https://drive.google.com/open?id=1tSOhPeaethYQDwgcyFwaMhUVUN5OsiN_,
2020/07/21 14:58:41,廣野明大,仮面ライダー響鬼が好き。,"デザイナー, 3D",https://drive.google.com/open?id=1GVJBzNIM9FqUsZ9juUVmli_iO_jxepJy,https://www.toei-video.co.jp/special/hibiki/
2020/07/21 15:05:00,ISHIMURA,じゃきー！じゃきー！じゃきー！,"デザイナー, 3D",https://drive.google.com/open?id=11q7EqgakyyfVTnPQmn8sNJleIbRlymJj,https://zukan.pokemon.co.jp/detail/378
2020/07/21 15:13:18,土橋,元老院所属の隠居おじさん。 ホロ沼にはまりし者。 かなたんのCh登録してね。,プログラマー,https://drive.google.com/open?id=1lI7BGDPj0qiSKWH3CoW-on0lKlOFHn1W,https://www.youtube.com/channel/UCZlDXzGoo7d44bwdNObFacg
2020/07/21 18:13:42,Nishioka\,De部門。MDメジャー。APEX。グラブル。です。,デザイナー,https://drive.google.com/open?id=17m-UzAvG22X5VciJez9EoI7OGgq59zO3,
2020/07/21 22:35:07,ともみん,やあ　NI/SIメジャーなともみそです　あだ名多すぎて定まらない男,"デザイナー, サウンド",https://drive.google.com/open?id=1dhTeKBTq51EbV-VfkQyz4PTdUdK1E6NR,
2020/07/21 22:36:54,ishimaru Takato,プログラマーとデザイナー両方やっている。アプリはfgoとチェンクロが好き。睡眠と昼寝と二度寝が好き。,"プログラマー, デザイナー",https://drive.google.com/open?id=1S-VbOZ-rzuHPe4p0yIOLWO3WjUSh0Tm_,
2020/07/21 22:39:29,Kanchi,De部門所属、EDメジャーです。白猫、マイクラしてます。,デザイナー,https://drive.google.com/open?id=15FRFQJGZSBHRoFBnu3xMqYe-WnZtwkbZ,
2020/07/21 22:41:56,三原沙文,たけのこ派でそば派でこしあん派で白みそ派でボブヘアー派でつり目派でズボン派なゲームしたりアニメ見たりしながら生きている女です。iPadで絵を描く。,"デザイナー, 3D",https://drive.google.com/open?id=1-MbWOw2XFbLnZ_BoWOZbNHt1AUCcymQ_,
2020/07/21 22:42:04,橘　航輝,よろしく,"デザイナー, プランナー",https://drive.google.com/open?id=1IoPAUlJTTMUdNSkAnruiinKalDdtKzNO,https://artsandculture.google.com/?hl=ja
2020/07/21 23:26:14,古居,4年生 / SIメジャー / GW研究室 /  3D部門 / 妄想屋 /  無属性 / 永遠の中二病 / 面倒オタク/  ポケモンと仮面ライダーだいすき /  ニコニコ動画だいすき /  よろしくお願いしま～す^^,3D,https://drive.google.com/open?id=103WfDlRNbwZZ4nepOf3R1slYaVcPDu29,
2020/07/25 20:54:03,杉﨑,プログラマ部門の杉﨑です。よろしくお願いします。,プログラマー,https://drive.google.com/open?id=15iWG__L7EZxglVrwFjmEJd4R_wAHyuFM,
2020/07/26 21:07:30,Ootsuji,サウンド部門に所属しています。2回生の大辻です。よくゲームのBGMの耳コピアレンジしたりしてます。,サウンド,https://drive.google.com/open?id=1mkh0umqeund1PE_-jjZ3wmAla_ybd8QW,
2020/07/26 23:06:31,TakadaShi,シス工3回MD サウンド部門チーフ/ボカロが好き,サウンド,https://drive.google.com/open?id=1Mbe7vgkK5SaX4dE7qK0PgDRTdLsTOx36,https://www.youtube.com/channel/UC-zysuBQ2I_gLMjy7aQgBWQ
2020/08/18 22:24:25,津田哲志,3D部門チーフ/3Dが生きがい/Blender教狂信者/にじさんじ・ホロライブ大好きマン。バーチャルっていいよね。3D関係の質問はなんでもどうぞ！！  リンクは個人的に大好きな曲です(ホラー注意),"デザイナー, 3D",https://drive.google.com/open?id=11P32wius3WfTxvP71EklvI5bnuIC0gTw,https://youtu.be/iSsct7423J4
